municipality,iata_code,coordinates
Charlottetown,YYG,"-63.12110137939453, 46.290000915527344"
Penticton,YYF,"-119.60199737548828, 49.46310043334961"
Fort Nelson,YYE,"-122.597000122, 58.8363990784"
Smithers,YYD,"-127.18299865722656, 54.82469940185547"
Calgary,YYC,"-114.019996643, 51.113899231"
North Bay,YYB,"-79.422798, 46.363602"
Yueyang,YYA,"113.278, 29.314"
Wawa,YXZ,"-84.78669738769531, 47.96670150756836"
Whitehorse,YXY,"-135.067001343, 60.7095985413"
Abbotsford,YXX,"-122.36100006103516, 49.025299072265625"
London,YXU,"-81.1539, 43.035599"
Terrace,YXT,"-128.576009, 54.468498"
Prince George,YXS,"-122.679000854, 53.8894004822"
Earlton,YXR,"-79.8473453522, 47.697400654599996"
Beaver Creek,YXQ,"-140.86700439453125, 62.410301208496094"
Pangnirtung,YXP,"-65.71360015869999, 66.1449966431"
Whale Cove,YXN,"-92.59809875490001, 62.24000167849999"
Sioux Lookout,YXL,"-91.9052963256836, 50.11389923095703"
Rimouski,YXK,"-68.49690246582031, 48.47809982299805"
Fort St.John,YXJ,"-120.739998, 56.238098"
Killaloe,YXI,"-77.60279846191406, 45.66310119628906"
Medicine Hat,YXH,"-110.72100067138672, 50.01890182495117"
Saskatoon,YXE,"-106.69999694824219, 52.170799255371094"
Edmonton,YXD,"-113.521003723, 53.5724983215"
Cranbrook,YXC,"-115.78199768066, 49.610801696777"
Wrigley,YWY,"-123.43699645996094, 63.20940017700195"
Whistler,YWS,"-122.948997498, 50.1436004639"
White River,YWR,"-85.223297, 48.6269"
Chutes-des-Passes,YWQ,"-71.138, 49.9434"
Webequie,YWP,"-87.3748683929, 52.9593933975"
Lupin Mine,YWO,"-111.25, 65.7666702271"
Winisk,YWN,"-85.1174, 55.2242"
Williams Harbour,YWM,"-55.784698486328125, 52.566898345947266"
Williams Lake,YWL,"-122.054000854, 52.1831016541"
Wabush,YWK,"-66.8644027709961, 52.92190170288086"
D̩line,YWJ,"-123.43599700927734, 65.21109771728516"
Victoria,YWH,"-123.388867378, 48.4249858939"
Winnipeg,YWG,"-97.2398986816, 49.909999847399995"
Kangiqsujuaq,YWB,"-71.929397583, 61.5886001587"
Petawawa,YWA,"-77.31919860839844, 45.95220184326172"
Deer Lake,YVZ,"-94.0614013671875, 52.655799865722656"
Wiarton,YVV,"-81.107201, 44.7458"
Buffalo Narrows,YVT,"-108.417999268, 55.8418998718"
